m_size,threads,time
3240,1,239
6480,1,923
8640,1,1616
10800,1,2527
3240,2,132
6480,2,532
8640,2,936
10800,2,1494
3240,3,110
6480,3,418
8640,3,762
10800,3,1220
3240,4,93
6480,4,349
8640,4,632
10800,4,968
3240,5,81
6480,5,302
8640,5,547
10800,5,890
3240,6,79
6480,6,276
8640,6,506
10800,6,798
3240,8,65
6480,8,258
8640,8,445
10800,8,755
3240,9,67
6480,9,226
8640,9,451
10800,9,774
3240,10,56
6480,10,242
8640,10,459
10800,10,731
