m_size,threads,time
3240,1,235
6480,1,922
8640,1,1676
10800,1,2585
3240,2,139
6480,2,524
8640,2,934
10800,2,1520
3240,3,106
6480,3,417
8640,3,786
10800,3,1148
3240,4,93
6480,4,373
8640,4,595
10800,4,973
3240,5,80
6480,5,311
8640,5,602
10800,5,858
3240,6,81
6480,6,279
8640,6,488
10800,6,795
3240,8,72
6480,8,303
8640,8,498
10800,8,760
3240,9,59
6480,9,243
8640,9,434
10800,9,762
3240,10,67
6480,10,289
8640,10,393
10800,10,761
