m_size,threads,time
3240,1,230
6480,1,939
8640,1,1640
10800,1,2609
3240,2,147
6480,2,559
8640,2,1000
10800,2,1505
3240,3,122
6480,3,394
8640,3,806
10800,3,1219
3240,4,96
6480,4,349
8640,4,647
10800,4,1072
3240,5,82
6480,5,337
8640,5,603
10800,5,986
3240,6,72
6480,6,298
8640,6,552
10800,6,812
3240,8,68
6480,8,250
8640,8,485
10800,8,784
3240,9,70
6480,9,250
8640,9,494
10800,9,762
3240,10,66
6480,10,266
8640,10,485
10800,10,785
