m_size,threads,time
3000,1,209
6000,1,715
8000,1,1321
10000,1,2034
3000,2,95
6000,2,368
8000,2,665
10000,2,1028
3000,3,82
6000,3,258
8000,3,438
10000,3,695
3000,4,52
6000,4,212
8000,4,348
10000,4,522
3000,5,68
6000,5,153
8000,5,270
10000,5,460
3000,6,46
6000,6,148
8000,6,245
10000,6,373
3000,7,40
6000,7,149
8000,7,190
10000,7,321
3000,8,42
6000,8,163
8000,8,196
10000,8,264
3000,9,35
6000,9,116
8000,9,178
10000,9,295
3000,10,38
6000,10,92
8000,10,232
10000,10,262
3000,11,33
6000,11,123
8000,11,165
10000,11,266
3000,12,29
6000,12,110
8000,12,159
10000,12,294
